geoid,county_name,category,poverty,alice,above_alice
48303,Lubbock,single_cohab,,,
48303,Lubbock,fam_kids,,,
48303,Lubbock,over_65,,,
48305,Lynn,single_cohab,,,
48305,Lynn,fam_kids,,,
48305,Lynn,over_65,,,
48313,Madison,single_cohab,,,
48313,Madison,fam_kids,,,
48313,Madison,over_65,,,
48315,Marion,single_cohab,,,
48315,Marion,fam_kids,,,
48315,Marion,over_65,,,
48317,Martin,single_cohab,,,
48317,Martin,fam_kids,,,
48317,Martin,over_65,,,
48319,Mason,single_cohab,,,
48319,Mason,fam_kids,,,
48319,Mason,over_65,,,
48321,Matagorda,single_cohab,,,
48321,Matagorda,fam_kids,,,
48321,Matagorda,over_65,,,
48323,Maverick,single_cohab,,,
48323,Maverick,fam_kids,,,
48323,Maverick,over_65,,,
48307,McCulloch,single_cohab,,,
48307,McCulloch,fam_kids,,,
48307,McCulloch,over_65,,,
48309,McLennan,single_cohab,,,
48309,McLennan,fam_kids,,,
48309,McLennan,over_65,,,
48311,McMullen,single_cohab,,,
48311,McMullen,fam_kids,,,
48311,McMullen,over_65,,,
48325,Medina,single_cohab,,,
48325,Medina,fam_kids,,,
48325,Medina,over_65,,,
48327,Menard,single_cohab,,,
48327,Menard,fam_kids,,,
48327,Menard,over_65,,,
48329,Midland,single_cohab,,,
48329,Midland,fam_kids,,,
48329,Midland,over_65,,,
48331,Milam,single_cohab,,,
48331,Milam,fam_kids,,,
48331,Milam,over_65,,,
48333,Mills,single_cohab,,,
48333,Mills,fam_kids,,,
48333,Mills,over_65,,,
48335,Mitchell,single_cohab,,,
48335,Mitchell,fam_kids,,,
48335,Mitchell,over_65,,,
48337,Montague,single_cohab,,,
48337,Montague,fam_kids,,,
48337,Montague,over_65,,,
48339,Montgomery,single_cohab,,,
48339,Montgomery,fam_kids,,,
48339,Montgomery,over_65,,,
48341,Moore,single_cohab,,,
48341,Moore,fam_kids,,,
48341,Moore,over_65,,,
48343,Morris,single_cohab,,,
48343,Morris,fam_kids,,,
48343,Morris,over_65,,,
48345,Motley,single_cohab,,,
48345,Motley,fam_kids,,,
48345,Motley,over_65,,,
48347,Nacogdoches,single_cohab,,,
48347,Nacogdoches,fam_kids,,,
48347,Nacogdoches,over_65,,,
48349,Navarro,single_cohab,,,
48349,Navarro,fam_kids,,,
48349,Navarro,over_65,,,
48351,Newton,single_cohab,,,
48351,Newton,fam_kids,,,
48351,Newton,over_65,,,
48353,Nolan,single_cohab,,,
48353,Nolan,fam_kids,,,
48353,Nolan,over_65,,,
48355,Nueces,single_cohab,,,
48355,Nueces,fam_kids,,,
48355,Nueces,over_65,,,
48357,Ochiltree,single_cohab,,,
48357,Ochiltree,fam_kids,,,
48357,Ochiltree,over_65,,,
48359,Oldham,single_cohab,,,
48359,Oldham,fam_kids,,,
48359,Oldham,over_65,,,
48361,Orange,single_cohab,,,
48361,Orange,fam_kids,,,
48361,Orange,over_65,,,
48363,Palo Pinto,single_cohab,,,
48363,Palo Pinto,fam_kids,,,
48363,Palo Pinto,over_65,,,
48365,Panola,single_cohab,,,
48365,Panola,fam_kids,,,
48365,Panola,over_65,,,
48367,Parker,single_cohab,,,
48367,Parker,fam_kids,,,
48367,Parker,over_65,,,
48369,Parmer,single_cohab,,,
48369,Parmer,fam_kids,,,
48369,Parmer,over_65,,,
48371,Pecos,single_cohab,,,
48371,Pecos,fam_kids,,,
48371,Pecos,over_65,,,
48373,Polk,single_cohab,,,
48373,Polk,fam_kids,,,
48373,Polk,over_65,,,
48375,Potter,single_cohab,,,
48375,Potter,fam_kids,,,
48375,Potter,over_65,,,
48377,Presidio,single_cohab,,,
48377,Presidio,fam_kids,,,
48377,Presidio,over_65,,,
48379,Rains,single_cohab,,,
48379,Rains,fam_kids,,,
48379,Rains,over_65,,,
48381,Randall,single_cohab,,,
48381,Randall,fam_kids,,,
48381,Randall,over_65,,,
48383,Reagan,single_cohab,,,
48383,Reagan,fam_kids,,,
48383,Reagan,over_65,,,
48385,Real,single_cohab,,,
48385,Real,fam_kids,,,
48385,Real,over_65,,,
48387,Red River,single_cohab,,,
48387,Red River,fam_kids,,,
48387,Red River,over_65,,,
48389,Reeves,single_cohab,,,
48389,Reeves,fam_kids,,,
48389,Reeves,over_65,,,
48391,Refugio,single_cohab,,,
48391,Refugio,fam_kids,,,
48391,Refugio,over_65,,,
48393,Roberts,single_cohab,,,
48393,Roberts,fam_kids,,,
