geoid,county_name,category,poverty,alice,above_alice
48229,Hudspeth,single_cohab,99,201,106
48229,Hudspeth,fam_kids,96,48,4
48229,Hudspeth,over_65,81,174,91
48231,Hunt,single_cohab,1038,5382,9681
48231,Hunt,fam_kids,2099,1699,5226
48231,Hunt,over_65,699,4781,3527
48233,Hutchinson,single_cohab,418,908,1708
48233,Hutchinson,fam_kids,479,421,1169
48233,Hutchinson,over_65,253,860,975
48235,Irion,single_cohab,62,60,196
48235,Irion,fam_kids,30,31,85
48235,Irion,over_65,11,75,84
48237,Jack,single_cohab,136,449,735
48237,Jack,fam_kids,239,139,559
48237,Jack,over_65,52,473,378
48239,Jackson,single_cohab,380,438,1548
48239,Jackson,fam_kids,209,114,1053
48239,Jackson,over_65,196,555,744
48241,Jasper,single_cohab,853,1660,2840
48241,Jasper,fam_kids,702,570,1833
48241,Jasper,over_65,371,2009,1745
48243,Jeff Davis,single_cohab,89,158,243
48243,Jeff Davis,fam_kids,,28,106
48243,Jeff Davis,over_65,7,178,241
48245,Jefferson,single_cohab,5890,13666,21474
48245,Jefferson,fam_kids,7231,6256,14356
48245,Jefferson,over_65,2946,9101,9919
48247,Jim Hogg,single_cohab,66,227,304
48247,Jim Hogg,fam_kids,236,62,172
48247,Jim Hogg,over_65,130,361,152
48249,Jim Wells,single_cohab,962,1787,2793
48249,Jim Wells,fam_kids,1279,409,2252
48249,Jim Wells,over_65,727,1610,1224
48251,Johnson,single_cohab,2671,6569,17892
48251,Johnson,fam_kids,2634,3926,12438
48251,Johnson,over_65,567,4339,8144
48253,Jones,single_cohab,382,508,1530
48253,Jones,fam_kids,253,267,760
48253,Jones,over_65,165,673,1055
48255,Karnes,single_cohab,175,687,953
48255,Karnes,fam_kids,299,279,580
48255,Karnes,over_65,245,537,491
48257,Kaufman,single_cohab,1330,5171,10038
48257,Kaufman,fam_kids,2247,3103,8430
48257,Kaufman,over_65,960,3071,4699
48259,Kendall,single_cohab,305,1501,3926
48259,Kendall,fam_kids,248,815,3294
48259,Kendall,over_65,318,1059,2693
48261,Kenedy,single_cohab,,,
48261,Kenedy,fam_kids,,,
48261,Kenedy,over_65,,,
48263,Kent,single_cohab,,43,74
48263,Kent,fam_kids,,,
48263,Kent,over_65,30,55,45
48265,Kerr,single_cohab,819,2338,4268
48265,Kerr,fam_kids,967,1348,2315
48265,Kerr,over_65,462,3183,5066
48267,Kimble,single_cohab,125,185,369
48267,Kimble,fam_kids,143,93,232
48267,Kimble,over_65,99,261,441
48269,King,single_cohab,,,
48269,King,fam_kids,,,
48269,King,over_65,,,
