"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Machinists","0.236","29503.39","15518.335","52.598","3415.406","11.576","10569.65","35.825"
"Roustabouts, Oil and Gas","0.213","26539.32","15473.039","58.302","3226.873","12.159","7839.408","29.539"
"Reservation and Transportation Ticket Agents and Travel Clerks","0.188","23445.24","16714.98","71.294","1689.551","7.206","5040.709","21.5"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","0.21","26192.24","9707.226","37.061","8462.918","32.311","8022.096","30.628"
"Lawyers","0.332","41426.39","0","0","18071.81","43.624","23354.58","56.376"
"Packaging and Filling Machine Operators and Tenders","0.188","23428.34","18028.598","76.952","0","0","5399.742","23.048"
"Correctional Officers and Jailers","0.271","33820.32","10980.57","32.467","6966.028","20.597","15873.723","46.935"
"Dispatchers, Except Police, Fire, and Ambulance","0.197","24654","17278.958","70.086","371.047","1.505","7003.994","28.409"
"Computer and Information Systems Managers","0.214","26743.74","360.62","1.348","16945.47","63.362","9437.65","35.289"
"Loan Interviewers and Clerks","0.173","21612.59","17295.247","80.024","0","0","4317.343","19.976"
"Paralegals and Legal Assistants","0.207","25815.17","13480.105","52.218","3325.355","12.881","9009.709","34.901"
"Administrative Services and Facilities Managers","0.235","29330.47","4543.337","15.49","11954.74","40.759","12832.393","43.751"
"Cooks, Institution and Cafeteria","0.242","30195.3","12318.568","40.796","3880.998","12.853","13995.734","46.351"
"Data Entry Keyers","0.142","17776.19","16066.206","90.38","0","0","1709.984","9.62"
"Claims Adjusters, Examiners, and Investigators","0.169","21058.26","3987.518","18.936","12035.887","57.155","5034.855","23.909"
"Loan Officers","0.177","22073.2","6075.72","27.525","9944.904","45.054","6052.576","27.42"
"Computer Occupations, All Other","0.204","25499.61","4308.044","16.895","10921.127","42.829","10270.439","40.277"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.239","29804.27","10164.829","34.105","4888.96","16.404","14750.481","49.491"
"Carpenters","0.199","24900.94","10070.355","40.442","4965.629","19.942","9864.956","39.617"
"Tutors and Teachers and Instructors, All Other","0.175","21860.28","1312.168","6.003","13451.217","61.533","7096.896","32.465"
"Compliance Officers","0.192","23914.28","7243.653","30.29","7435.342","31.092","9235.286","38.618"
"Clinical Laboratory Technologists and Technicians","0.23","28766.35","10271.8","35.708","4293.02","14.924","14201.53","49.369"
"Public Relations Specialists","0.211","26330.28","4261.881","16.186","10286.865","39.069","11781.534","44.745"
"Hairdressers, Hairstylists, and Cosmetologists","0.271","33804.19","2880.164","8.52","11628.93","34.401","19295.096","57.079"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","0.188","23521.59","9451.35","40.182","5037.256","21.415","9032.984","38.403"
"Painters, Construction and Maintenance","0.169","21092.27","4703.974","22.302","9686.659","45.925","6701.637","31.773"
"Training and Development Specialists","0.216","26924.45","1590.519","5.907","12685.299","47.114","12648.632","46.978"
"Education Administrators, Kindergarten through Secondary","0.257","32086.21","566.732","1.766","13653.533","42.553","17865.945","55.681"
"Cement Masons and Concrete Finishers","0.186","23263.91","13301.094","57.175","842.66","3.622","9120.156","39.203"
"Educational, Guidance, and Career Counselors and Advisors","0.218","27250.18","1948.591","7.151","12194.725","44.751","13106.864","48.098"
"Pharmacists","0.177","22057.69","9430.24","42.753","4201.436","19.047","8426.013","38.2"
"Dental Assistants","0.272","33923.39","7876.451","23.218","5557.408","16.382","20489.531","60.399"
"Sales Managers","0.246","30700.13","1448.949","4.72","11907.152","38.785","17344.03","56.495"
"Exercise Trainers and Group Fitness Instructors","0.195","24304.53","256.509","1.055","12682.616","52.182","11365.405","46.762"
"Amusement and Recreation Attendants","0.16","19946.52","11495.773","57.633","1217.136","6.102","7233.611","36.265"
"Food Servers, Nonrestaurant","0.144","18008.18","11040.715","61.309","1627.785","9.039","5339.68","29.651"
"Construction Managers","0.293","36635.9","1999.863","5.459","10437.19","28.489","24198.847","66.052"
"Information and Record Clerks, All Other","0.116","14487.66","12135.282","83.763","156.026","1.077","2196.352","15.16"
"Computer Network Support Specialists","0.12","15028.22","5877.496","39.11","6342.043","42.201","2808.682","18.689"
"Cost Estimators","0.148","18504.79","7667.354","41.434","4510.811","24.376","6326.625","34.189"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","0.167","20874.12","3938.227","18.867","8081.037","38.713","8854.855","42.42"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","0.122","15224.12","11081.769","72.791","543.861","3.572","3598.49","23.637"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","0.12","15012.37","11343.647","75.562","0","0","3668.723","24.438"
"Laundry and Dry-Cleaning Workers","0.122","15176.09","10041.335","66.165","1258.25","8.291","3876.505","25.544"
"Civil Engineers","0.21","26200.71","2955.711","11.281","8327.389","31.783","14917.61","56.936"
"Instructional Coordinators","0.154","19188.52","0","0","11247.313","58.615","7941.207","41.385"
"Bakers","0.113","14119.22","11102.033","78.631","72.193","0.511","2944.995","20.858"
"Payroll and Timekeeping Clerks","0.099","12367.86","8879.015","71.791","2188.224","17.693","1300.621","10.516"
"Health Specialties Teachers, Postsecondary","0.154","19247.17","1074.861","5.585","9973.758","51.819","8198.55","42.596"
"Service Unit Operators, Oil and Gas","0.17","21227.08","6864.554","32.339","3976.692","18.734","10385.833","48.927"
"Bus and Truck Mechanics and Diesel Engine Specialists","0.225","28152.42","7111.032","25.259","3636.881","12.919","17404.507","61.822"
"Butchers and Meat Cutters","0.113","14104.56","10135.603","71.86","518.984","3.68","3449.973","24.46"
"Computer Programmers","0.16","20030.44","632.739","3.159","9947.21","49.66","9450.491","47.181"
"First-Line Supervisors of Non-Retail Sales Workers","0.192","23984.09","1135.827","4.736","9336.952","38.93","13511.311","56.334"
"Cooks, Short Order","0.111","13859.12","10249.652","73.956","191.282","1.38","3418.186","24.664"
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","0.193","24058.74","1910.032","7.939","8374.627","34.809","13774.081","57.252"
"Personal Financial Advisors","0.101","12588.07","7049.707","56.003","3229.239","25.653","2309.124","18.344"
"Merchandise Displayers and Window Trimmers","0.133","16557.6","847.932","5.121","9409.052","56.826","6300.617","38.053"
"Social and Human Service Assistants","0.149","18626.91","4038.484","21.681","6033.423","32.391","8555.003","45.928"
"Preschool Teachers, Except Special Education","0.29","36264.18","1659.469","4.576","8358.227","23.048","26246.485","72.376"
"Industrial Engineers","0.156","19496.94","3037.958","15.582","6885.578","35.316","9573.404","49.102"
"Physicians, All Other; and Ophthalmologists, Except Pediatric","0.195","24367.16","2799.874","11.49","7109.685","29.177","14457.601","59.332"
"Tire Repairers and Changers","0.116","14436.43","9447.026","65.439","329.133","2.28","4660.271","32.281"
"Sales and Related Workers, All Other","0.104","12954.93","9598.187","74.089","98.788","0.763","3257.955","25.148"
"Mechanical Engineers","0.179","22296.32","999.644","4.483","8677.214","38.918","12619.462","56.599"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","0.219","27350.71","1702.844","6.226","7793.546","28.495","17854.32","65.279"
"Telecommunications Line Installers and Repairers","0.123","15412.13","2182.125","14.158","7172.579","46.539","6057.426","39.303"
"Telemarketers","0.094","11724.14","8823.631","75.26","491.818","4.195","2408.692","20.545"
"Petroleum Engineers","0.146","18229.53","3634.316","19.936","5617.364","30.815","8977.85","49.249"
"Order Clerks","0.093","11579.88","8164.37","70.505","793.032","6.848","2622.479","22.647"
"Chemical Equipment Operators and Tenders","0.117","14559.38","7618.17","52.325","1324.559","9.098","5616.651","38.578"
"File Clerks","0.083","10388.71","8783.523","84.549","132.551","1.276","1472.636","14.175"
"Installation, Maintenance, and Repair Workers, All Other","0.087","10868.38","8882.962","81.732","0","0","1985.418","18.268"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","0.1","12439.71","7500.173","60.292","1344.396","10.807","3595.14","28.901"
"Cargo and Freight Agents","0.09","11284.01","8662.943","76.772","60.203","0.534","2560.864","22.695"
"Legal Secretaries and Administrative Assistants","0.091","11415.32","8299.691","72.707","410.065","3.592","2705.564","23.701"
"Real Estate Sales Agents","0.134","16758.38","1677.685","10.011","6969.604","41.589","8111.091","48.4"
"Child, Family, and School Social Workers","0.14","17494.9","1895.142","10.833","6732.484","38.483","8867.274","50.685"
"Automotive and Watercraft Service Attendants","0.103","12868.65","6872.158","53.402","1748.255","13.585","4248.236","33.012"
"Property, Real Estate, and Community Association Managers","0.166","20685.88","3863.57","18.677","4687.196","22.659","12135.115","58.664"
