"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services","0.128","27.89","1.349","4.836","12.806","45.917","13.735","49.247"
"Administrative Services and Facilities Managers","0.112","24.35","3.804","15.624","10.067","41.344","10.478","43.032"
"Hairdressers, Hairstylists, and Cosmetologists","0.126","27.53","2.443","8.876","11.022","40.036","14.065","51.089"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","0.08","17.35","12.411","71.532","1.03","5.935","3.909","22.532"
"Dental Hygienists","0.192","41.76","8.088","19.369","5.19","12.428","28.482","68.203"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","0.105","22.99","12.52","54.459","0.733","3.189","9.737","42.352"
"Insurance Claims and Policy Processing Clerks","0.077","16.74","11.608","69.344","1.645","9.826","3.487","20.83"
"Mail Clerks and Mail Machine Operators, Except Postal Service","0.07","15.2","12.398","81.569","0.603","3.97","2.198","14.461"
"Switchboard Operators, Including Answering Service","0.072","15.8","12.881","81.527","0","0","2.919","18.473"
"Dispatchers, Except Police, Fire, and Ambulance","0.08","17.33","12.607","72.748","0.262","1.514","4.46","25.738"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","0.078","16.94","11.883","70.147","0.855","5.045","4.202","24.808"
"Chemical Plant and System Operators","0.099","21.55","12.167","56.458","0.52","2.414","8.863","41.129"
"Semiconductor Processing Technicians","0.076","16.62","12.481","75.094","0.19","1.145","3.949","23.761"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.095","20.7","5.413","26.147","7.177","34.67","8.111","39.182"
"Order Clerks","0.073","15.92","11.294","70.941","1.102","6.923","3.524","22.136"
"Physical Therapist Aides","0.122","26.61","3.33","12.516","9.025","33.916","14.255","53.569"
"Laundry and Dry-Cleaning Workers","0.075","16.24","10.962","67.499","1.377","8.479","3.901","24.022"
"Telemarketers","0.07","15.27","11.492","75.26","0.641","4.195","3.137","20.545"
"Physicians, All Other; and Ophthalmologists, Except Pediatric","0.136","29.74","3.417","11.489","8.673","29.162","17.65","59.349"
"Healthcare Support Workers, All Other","0.126","27.42","4.992","18.205","6.919","25.233","15.509","56.562"
"Securities, Commodities, and Financial Services Sales Agents","0.075","16.44","5.157","31.369","6.703","40.775","4.58","27.856"
"Financial Managers","0.086","18.67","6.601","35.359","5.244","28.086","6.825","36.555"
"Medical Equipment Preparers","0.084","18.21","9.948","54.631","1.541","8.46","6.721","36.908"
"Industrial Machinery Mechanics","0.09","19.53","10.042","51.418","1.429","7.315","8.06","41.267"
"Molders, Shapers, and Casters, Except Metal and Plastic","0.065","14.2","11.197","78.851","0.269","1.895","2.734","19.254"
"Social and Human Service Assistants","0.097","21.06","4.562","21.66","6.817","32.37","9.681","45.97"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","0.074","16.12","3.284","20.369","8.028","49.803","4.808","29.828"
"Sawing Machine Setters, Operators, and Tenders, Wood","0.066","14.4","10.52","73.054","0.684","4.749","3.196","22.197"
